Type,Reference,Description
Interfaces,Excel.Interfaces.RangeBorderCollectionUpdateData,"An interface for updating data on the RangeBorderCollection object, for use in rangeBorderCollection.set({ ... })."
Interfaces,Excel.Interfaces.RangeBorderData,An interface describing the data returned by calling rangeBorder.toJSON().
Interfaces,Excel.Interfaces.RangeBorderLoadOptions,Represents the border of an object.
Interfaces,Excel.Interfaces.RangeBorderUpdateData,"An interface for updating data on the RangeBorder object, for use in rangeBorder.set({ ... })."
Interfaces,Excel.Interfaces.RangeCollectionData,An interface describing the data returned by calling rangeCollection.toJSON().
Interfaces,Excel.Interfaces.RangeCollectionUpdateData,"An interface for updating data on the RangeCollection object, for use in rangeCollection.set({ ... })."
Interfaces,Excel.Interfaces.RangeData,An interface describing the data returned by calling range.toJSON().
Interfaces,Excel.Interfaces.RangeFillData,An interface describing the data returned by calling rangeFill.toJSON().
Interfaces,Excel.Interfaces.RangeFillLoadOptions,Represents the background of a range object.
Interfaces,Excel.Interfaces.RangeFillUpdateData,"An interface for updating data on the RangeFill object, for use in rangeFill.set({ ... })."
Interfaces,Excel.Interfaces.RangeFontData,An interface describing the data returned by calling rangeFont.toJSON().
Interfaces,Excel.Interfaces.RangeFontLoadOptions,"This object represents the font attributes (font name, font size, color, etc.) for an object."
Interfaces,Excel.Interfaces.RangeFontUpdateData,"An interface for updating data on the RangeFont object, for use in rangeFont.set({ ... })."
Interfaces,Excel.Interfaces.RangeFormatData,An interface describing the data returned by calling rangeFormat.toJSON().
Interfaces,Excel.Interfaces.RangeFormatLoadOptions,"A format object encapsulating the range's font, fill, borders, alignment, and other properties."
Interfaces,Excel.Interfaces.RangeFormatUpdateData,"An interface for updating data on the RangeFormat object, for use in rangeFormat.set({ ... })."
Interfaces,Excel.Interfaces.RangeLoadOptions,"Range represents a set of one or more contiguous cells such as a cell, a row, a column, or a block of cells. To learn more about how ranges are used throughout the API, start with Ranges in the Excel JavaScript API."
Interfaces,Excel.Interfaces.RangeUpdateData,"An interface for updating data on the Range object, for use in range.set({ ... })."
Interfaces,Excel.Interfaces.RangeViewCollectionData,An interface describing the data returned by calling rangeViewCollection.toJSON().
Interfaces,Excel.Interfaces.RangeViewCollectionLoadOptions,Represents a collection of RangeView objects.
Interfaces,Excel.Interfaces.RangeViewCollectionUpdateData,"An interface for updating data on the RangeViewCollection object, for use in rangeViewCollection.set({ ... })."
Interfaces,Excel.Interfaces.RangeViewData,An interface describing the data returned by calling rangeView.toJSON().
Interfaces,Excel.Interfaces.RangeViewLoadOptions,RangeView represents a set of visible cells of the parent range.
Interfaces,Excel.Interfaces.RangeViewUpdateData,"An interface for updating data on the RangeView object, for use in rangeView.set({ ... })."
Interfaces,Excel.Interfaces.RemoveDuplicatesResultData,An interface describing the data returned by calling removeDuplicatesResult.toJSON().
Interfaces,Excel.Interfaces.RemoveDuplicatesResultLoadOptions,Represents the results from Range.removeDuplicates.
Interfaces,Excel.Interfaces.RowColumnPivotHierarchyCollectionData,An interface describing the data returned by calling rowColumnPivotHierarchyCollection.toJSON().
Interfaces,Excel.Interfaces.RowColumnPivotHierarchyCollectionLoadOptions,Represents a collection of RowColumnPivotHierarchy items associated with the PivotTable.
Interfaces,Excel.Interfaces.RowColumnPivotHierarchyCollectionUpdateData,"An interface for updating data on the RowColumnPivotHierarchyCollection object, for use in rowColumnPivotHierarchyCollection.set({ ... })."
Interfaces,Excel.Interfaces.RowColumnPivotHierarchyData,An interface describing the data returned by calling rowColumnPivotHierarchy.toJSON().
Interfaces,Excel.Interfaces.RowColumnPivotHierarchyLoadOptions,Represents the Excel RowColumnPivotHierarchy.
Interfaces,Excel.Interfaces.RowColumnPivotHierarchyUpdateData,"An interface for updating data on the RowColumnPivotHierarchy object, for use in rowColumnPivotHierarchy.set({ ... })."
Interfaces,Excel.Interfaces.RuntimeData,An interface describing the data returned by calling runtime.toJSON().
Interfaces,Excel.Interfaces.RuntimeLoadOptions,Represents the Excel Runtime class.
Interfaces,Excel.Interfaces.RuntimeUpdateData,"An interface for updating data on the Runtime object, for use in runtime.set({ ... })."
Interfaces,Excel.Interfaces.SettingCollectionData,An interface describing the data returned by calling settingCollection.toJSON().
Interfaces,Excel.Interfaces.SettingCollectionLoadOptions,Represents a collection of key-value pair setting objects that are part of the workbook. The scope is limited to per file and add-in (task-pane or content) combination.
Interfaces,Excel.Interfaces.SettingCollectionUpdateData,"An interface for updating data on the SettingCollection object, for use in settingCollection.set({ ... })."
Interfaces,Excel.Interfaces.SettingData,An interface describing the data returned by calling setting.toJSON().
Interfaces,Excel.Interfaces.SettingLoadOptions,"Setting represents a key-value pair of a setting persisted to the document (per file, per add-in). These custom key-value pair can be used to store state or lifecycle information needed by the content or task-pane add-in. Note that settings are persisted in the document and hence it is not a place to store any sensitive or protected information such as user information and password."
Interfaces,Excel.Interfaces.SettingUpdateData,"An interface for updating data on the Setting object, for use in setting.set({ ... })."
Interfaces,Excel.Interfaces.ShapeCollectionData,An interface describing the data returned by calling shapeCollection.toJSON().
Interfaces,Excel.Interfaces.ShapeCollectionLoadOptions,Represents a collection of all the shapes in the worksheet.
Interfaces,Excel.Interfaces.ShapeCollectionUpdateData,"An interface for updating data on the ShapeCollection object, for use in shapeCollection.set({ ... })."
Interfaces,Excel.Interfaces.ShapeData,An interface describing the data returned by calling shape.toJSON().
Interfaces,Excel.Interfaces.ShapeFillData,An interface describing the data returned by calling shapeFill.toJSON().
Interfaces,Excel.Interfaces.ShapeFillLoadOptions,Represents the fill formatting of a shape object.
Interfaces,Excel.Interfaces.ShapeFillUpdateData,"An interface for updating data on the ShapeFill object, for use in shapeFill.set({ ... })."
Interfaces,Excel.Interfaces.ShapeFontData,An interface describing the data returned by calling shapeFont.toJSON().
Interfaces,Excel.Interfaces.ShapeFontLoadOptions,"Represents the font attributes, such as font name, font size, and color, for a shape's TextRange object."
Interfaces,Excel.Interfaces.ShapeFontUpdateData,"An interface for updating data on the ShapeFont object, for use in shapeFont.set({ ... })."
Interfaces,Excel.Interfaces.ShapeGroupData,An interface describing the data returned by calling shapeGroup.toJSON().
Interfaces,Excel.Interfaces.ShapeGroupLoadOptions,"Represents a shape group inside a worksheet. To get the corresponding Shape object, use ShapeGroup.shape."
Interfaces,Excel.Interfaces.ShapeLineFormatData,An interface describing the data returned by calling shapeLineFormat.toJSON().
Interfaces,Excel.Interfaces.ShapeLineFormatLoadOptions,"Represents the line formatting for the shape object. For images and geometric shapes, line formatting represents the border of the shape."
Interfaces,Excel.Interfaces.ShapeLineFormatUpdateData,"An interface for updating data on the ShapeLineFormat object, for use in shapeLineFormat.set({ ... })."
Interfaces,Excel.Interfaces.ShapeLoadOptions,"Represents a generic shape object in the worksheet. A shape could be a geometric shape, a line, a group of shapes, etc. To learn more about the shape object model, read Work with shapes using the Excel JavaScript API."
Interfaces,Excel.Interfaces.ShapeUpdateData,"An interface for updating data on the Shape object, for use in shape.set({ ... })."
Interfaces,Excel.Interfaces.SlicerCollectionData,An interface describing the data returned by calling slicerCollection.toJSON().
Interfaces,Excel.Interfaces.SlicerCollectionLoadOptions,Represents a collection of all the slicer objects in the workbook or a worksheet.
Interfaces,Excel.Interfaces.SlicerCollectionUpdateData,"An interface for updating data on the SlicerCollection object, for use in slicerCollection.set({ ... })."
Interfaces,Excel.Interfaces.SlicerData,An interface describing the data returned by calling slicer.toJSON().
Interfaces,Excel.Interfaces.SlicerItemCollectionData,An interface describing the data returned by calling slicerItemCollection.toJSON().
Interfaces,Excel.Interfaces.SlicerItemCollectionLoadOptions,Represents a collection of all the slicer item objects in the slicer.
Interfaces,Excel.Interfaces.SlicerItemCollectionUpdateData,"An interface for updating data on the SlicerItemCollection object, for use in slicerItemCollection.set({ ... })."
Interfaces,Excel.Interfaces.SlicerItemData,An interface describing the data returned by calling slicerItem.toJSON().
Interfaces,Excel.Interfaces.SlicerItemLoadOptions,Represents a slicer item in a slicer.
Interfaces,Excel.Interfaces.SlicerItemUpdateData,"An interface for updating data on the SlicerItem object, for use in slicerItem.set({ ... })."
Interfaces,Excel.Interfaces.SlicerLoadOptions,Represents a Slicer object in the workbook.
Interfaces,Excel.Interfaces.SlicerStyleCollectionData,An interface describing the data returned by calling slicerStyleCollection.toJSON().
Interfaces,Excel.Interfaces.SlicerStyleCollectionLoadOptions,Represents a collection of SlicerStyle objects.
Interfaces,Excel.Interfaces.SlicerStyleCollectionUpdateData,"An interface for updating data on the SlicerStyleCollection object, for use in slicerStyleCollection.set({ ... })."
Interfaces,Excel.Interfaces.SlicerStyleData,An interface describing the data returned by calling slicerStyle.toJSON().
Interfaces,Excel.Interfaces.SlicerStyleLoadOptions,"Represents a slicer style, which defines style elements by region of the slicer."
Interfaces,Excel.Interfaces.SlicerStyleUpdateData,"An interface for updating data on the SlicerStyle object, for use in slicerStyle.set({ ... })."
Interfaces,Excel.Interfaces.SlicerUpdateData,"An interface for updating data on the Slicer object, for use in slicer.set({ ... })."
Interfaces,Excel.Interfaces.StyleCollectionData,An interface describing the data returned by calling styleCollection.toJSON().
Interfaces,Excel.Interfaces.StyleCollectionLoadOptions,Represents a collection of all the styles.
Interfaces,Excel.Interfaces.StyleCollectionUpdateData,"An interface for updating data on the StyleCollection object, for use in styleCollection.set({ ... })."
Interfaces,Excel.Interfaces.StyleData,An interface describing the data returned by calling style.toJSON().
Interfaces,Excel.Interfaces.StyleLoadOptions,An object encapsulating a style's format and other properties.
Interfaces,Excel.Interfaces.StyleUpdateData,"An interface for updating data on the Style object, for use in style.set({ ... })."
Interfaces,Excel.Interfaces.TableCollectionData,An interface describing the data returned by calling tableCollection.toJSON().
Interfaces,Excel.Interfaces.TableCollectionLoadOptions,"Represents a collection of all the tables that are part of the workbook or worksheet, depending on how it was reached."
Interfaces,Excel.Interfaces.TableCollectionUpdateData,"An interface for updating data on the TableCollection object, for use in tableCollection.set({ ... })."
Interfaces,Excel.Interfaces.TableColumnCollectionData,An interface describing the data returned by calling tableColumnCollection.toJSON().
Interfaces,Excel.Interfaces.TableColumnCollectionLoadOptions,Represents a collection of all the columns that are part of the table.
Interfaces,Excel.Interfaces.TableColumnCollectionUpdateData,"An interface for updating data on the TableColumnCollection object, for use in tableColumnCollection.set({ ... })."
Interfaces,Excel.Interfaces.TableColumnData,An interface describing the data returned by calling tableColumn.toJSON().
Interfaces,Excel.Interfaces.TableColumnLoadOptions,Represents a column in a table.
Interfaces,Excel.Interfaces.TableColumnUpdateData,"An interface for updating data on the TableColumn object, for use in tableColumn.set({ ... })."
Interfaces,Excel.Interfaces.TableData,An interface describing the data returned by calling table.toJSON().
Interfaces,Excel.Interfaces.TableLoadOptions,"Represents an Excel table. To learn more about the table object model, read Work with tables using the Excel JavaScript API."
Interfaces,Excel.Interfaces.TableRowCollectionData,An interface describing the data returned by calling tableRowCollection.toJSON().
Interfaces,Excel.Interfaces.TableRowCollectionLoadOptions,Represents a collection of all the rows that are part of the table.
Interfaces,Excel.Interfaces.TableRowCollectionUpdateData,"An interface for updating data on the TableRowCollection object, for use in tableRowCollection.set({ ... })."
Interfaces,Excel.Interfaces.TableRowData,An interface describing the data returned by calling tableRow.toJSON().
Interfaces,Excel.Interfaces.TableRowLoadOptions,Represents a row in a table.
Interfaces,Excel.Interfaces.TableRowUpdateData,"An interface for updating data on the TableRow object, for use in tableRow.set({ ... })."
Interfaces,Excel.Interfaces.TableScopedCollectionData,An interface describing the data returned by calling tableScopedCollection.toJSON().
Interfaces,Excel.Interfaces.TableScopedCollectionLoadOptions,"Represents a scoped collection of tables. For each table its top-left corner is considered its anchor location, and the tables are sorted top-to-bottom and then left-to-right."
Interfaces,Excel.Interfaces.TableScopedCollectionUpdateData,"An interface for updating data on the TableScopedCollection object, for use in tableScopedCollection.set({ ... })."
Interfaces,Excel.Interfaces.TableSortData,An interface describing the data returned by calling tableSort.toJSON().
Interfaces,Excel.Interfaces.TableSortLoadOptions,Manages sorting operations on Table objects.
Interfaces,Excel.Interfaces.TableStyleCollectionData,An interface describing the data returned by calling tableStyleCollection.toJSON().
Interfaces,Excel.Interfaces.TableStyleCollectionLoadOptions,Represents a collection of table styles.
Interfaces,Excel.Interfaces.TableStyleCollectionUpdateData,"An interface for updating data on the TableStyleCollection object, for use in tableStyleCollection.set({ ... })."
Interfaces,Excel.Interfaces.TableStyleData,An interface describing the data returned by calling tableStyle.toJSON().
Interfaces,Excel.Interfaces.TableStyleLoadOptions,"Represents a table style, which defines the style elements by region of the table."
Interfaces,Excel.Interfaces.TableStyleUpdateData,"An interface for updating data on the TableStyle object, for use in tableStyle.set({ ... })."
Interfaces,Excel.Interfaces.TableUpdateData,"An interface for updating data on the Table object, for use in table.set({ ... })."
Interfaces,Excel.Interfaces.TextConditionalFormatData,An interface describing the data returned by calling textConditionalFormat.toJSON().
Interfaces,Excel.Interfaces.TextConditionalFormatLoadOptions,Represents a specific text conditional format.
Interfaces,Excel.Interfaces.TextConditionalFormatUpdateData,"An interface for updating data on the TextConditionalFormat object, for use in textConditionalFormat.set({ ... })."
Interfaces,Excel.Interfaces.TextFrameData,An interface describing the data returned by calling textFrame.toJSON().
Interfaces,Excel.Interfaces.TextFrameLoadOptions,Represents the text frame of a shape object.
Interfaces,Excel.Interfaces.TextFrameUpdateData,"An interface for updating data on the TextFrame object, for use in textFrame.set({ ... })."
Interfaces,Excel.Interfaces.TextRangeData,An interface describing the data returned by calling textRange.toJSON().
Interfaces,Excel.Interfaces.TextRangeLoadOptions,"Contains the text that is attached to a shape, in addition to properties and methods for manipulating the text."
Interfaces,Excel.Interfaces.TextRangeUpdateData,"An interface for updating data on the TextRange object, for use in textRange.set({ ... })."
Interfaces,Excel.Interfaces.TimelineStyleCollectionData,An interface describing the data returned by calling timelineStyleCollection.toJSON().
Interfaces,Excel.Interfaces.TimelineStyleCollectionLoadOptions,Represents a collection of timeline styles.
Interfaces,Excel.Interfaces.TimelineStyleCollectionUpdateData,"An interface for updating data on the TimelineStyleCollection object, for use in timelineStyleCollection.set({ ... })."
Interfaces,Excel.Interfaces.TimelineStyleData,An interface describing the data returned by calling timelineStyle.toJSON().
Interfaces,Excel.Interfaces.TimelineStyleLoadOptions,"Represents a TimelineStyle, which defines style elements by region in the timeline."
Interfaces,Excel.Interfaces.TimelineStyleUpdateData,"An interface for updating data on the TimelineStyle object, for use in timelineStyle.set({ ... })."
Interfaces,Excel.Interfaces.TopBottomConditionalFormatData,An interface describing the data returned by calling topBottomConditionalFormat.toJSON().
Interfaces,Excel.Interfaces.TopBottomConditionalFormatLoadOptions,Represents a top/bottom conditional format.
Interfaces,Excel.Interfaces.TopBottomConditionalFormatUpdateData,"An interface for updating data on the TopBottomConditionalFormat object, for use in topBottomConditionalFormat.set({ ... })."
Interfaces,Excel.Interfaces.WorkbookCreatedData,An interface describing the data returned by calling workbookCreated.toJSON().
Interfaces,Excel.Interfaces.WorkbookData,An interface describing the data returned by calling workbook.toJSON().
Interfaces,Excel.Interfaces.WorkbookLoadOptions,"Workbook is the top level object which contains related workbook objects such as worksheets, tables, and ranges. To learn more about the workbook object model, read Work with workbooks using the Excel JavaScript API."
Interfaces,Excel.Interfaces.WorkbookProtectionData,An interface describing the data returned by calling workbookProtection.toJSON().
Interfaces,Excel.Interfaces.WorkbookProtectionLoadOptions,Represents the protection of a workbook object.
Interfaces,Excel.Interfaces.WorkbookRangeAreasData,An interface describing the data returned by calling workbookRangeAreas.toJSON().
Interfaces,Excel.Interfaces.WorkbookRangeAreasLoadOptions,Represents a collection of one or more rectangular ranges in multiple worksheets.
Interfaces,Excel.Interfaces.WorkbookUpdateData,"An interface for updating data on the Workbook object, for use in workbook.set({ ... })."
Interfaces,Excel.Interfaces.WorksheetCollectionData,An interface describing the data returned by calling worksheetCollection.toJSON().
Interfaces,Excel.Interfaces.WorksheetCollectionLoadOptions,Represents a collection of worksheet objects that are part of the workbook.
Interfaces,Excel.Interfaces.WorksheetCollectionUpdateData,"An interface for updating data on the WorksheetCollection object, for use in worksheetCollection.set({ ... })."
Interfaces,Excel.Interfaces.WorksheetCustomPropertyCollectionData,An interface describing the data returned by calling worksheetCustomPropertyCollection.toJSON().
Interfaces,Excel.Interfaces.WorksheetCustomPropertyCollectionLoadOptions,Contains the collection of worksheet-level custom property.
Interfaces,Excel.Interfaces.WorksheetCustomPropertyCollectionUpdateData,"An interface for updating data on the WorksheetCustomPropertyCollection object, for use in worksheetCustomPropertyCollection.set({ ... })."
Interfaces,Excel.Interfaces.WorksheetCustomPropertyData,An interface describing the data returned by calling worksheetCustomProperty.toJSON().
Interfaces,Excel.Interfaces.WorksheetCustomPropertyLoadOptions,Represents a worksheet-level custom property.
Interfaces,Excel.Interfaces.WorksheetCustomPropertyUpdateData,"An interface for updating data on the WorksheetCustomProperty object, for use in worksheetCustomProperty.set({ ... })."
Interfaces,Excel.Interfaces.WorksheetData,An interface describing the data returned by calling worksheet.toJSON().
Interfaces,Excel.Interfaces.WorksheetLoadOptions,"An Excel worksheet is a grid of cells. It can contain data, tables, charts, etc. To learn more about the worksheet object model, read Work with worksheets using the Excel JavaScript API."
Interfaces,Excel.Interfaces.WorksheetProtectionData,An interface describing the data returned by calling worksheetProtection.toJSON().
Interfaces,Excel.Interfaces.WorksheetProtectionLoadOptions,Represents the protection of a worksheet object.
Interfaces,Excel.Interfaces.WorksheetUpdateData,"An interface for updating data on the Worksheet object, for use in worksheet.set({ ... })."
Interfaces,Excel.LinkedDataTypeAddedEventArgs,The argument that is passed to the event handler after a new linked data type is added to the workbook.
Interfaces,Excel.LinkedEntityCellValue,Represents a value whose properties derive from a service.
Interfaces,Excel.LinkedEntityId,The linked entity ID object represents a set of properties that describes a service and culture for locating this service defined value.
Interfaces,Excel.ListDataValidation,Represents the List data validation criteria.
Interfaces,Excel.LocalImageCellValue,Represents the value of a cell containing a locally stored or generated image.
Interfaces,Excel.LocalImageCellValueCacheId,The UID of a previously cached image.
Interfaces,Excel.NameErrorCellValue,Represents the value of a cell containing a #NAME? error.
Interfaces,Excel.NotAvailableErrorCellValue,Represents the value of a cell containing a #N/A! error.
Interfaces,Excel.NullErrorCellValue,Represents the value of a cell containing a #NULL! error.
Interfaces,Excel.NumErrorCellValue,Represents the value of a cell containing a #NUM! error.
Interfaces,Excel.PageLayoutMarginOptions,Represents the options in page layout margins.
Interfaces,Excel.PageLayoutZoomOptions,Represents page zoom properties.
Interfaces,Excel.PivotDateFilter,Configurable template for a date filter to apply to a PivotField. The condition defines what criteria need to be set in order for the filter to operate.
Interfaces,Excel.PivotFilters,An interface representing all PivotFilters currently applied to a given PivotField.
Interfaces,Excel.PivotLabelFilter,Configurable template for a label filter to apply to a PivotField. The condition defines what criteria need to be set in order for the filter to operate.
Interfaces,Excel.PivotManualFilter,Configurable template for a manual filter to apply to a PivotField. The condition defines what criteria need to be set in order for the filter to operate.
Interfaces,Excel.PivotValueFilter,Configurable template for a value filter to apply to a PivotField. The condition defines what criteria need to be set in order for the filter to operate.
Interfaces,Excel.PlaceholderErrorCellValue,Represents the value of a cell containing a #BUSY! error. This type of error is used as a placeholder while the value of a cell is downloaded.
Interfaces,Excel.PythonErrorCellValue,Represents the value of a cell containing a #PYTHON! error.
Interfaces,Excel.RangeHyperlink,Represents the necessary strings to get/set a hyperlink (XHL) object.
Interfaces,Excel.RangeReference,"Represents a string reference of the form ""SheetName!A1:B5"", or a global or local named range."
Interfaces,Excel.ReferenceCellValue,"Represents a reference into referencedValues. One scenario for using this reference is to avoid duplicating cell value objects (such as an EntityCellValue). Define a cell value object once in referencedValues, and then refer to that cell value from many places by using a ReferenceCellValue where the duplicated value would have appeared."
Interfaces,Excel.RefErrorCellValue,Represents the value of a cell containing a #REF! error.
Interfaces,Excel.RefreshModeChangedEventArgs,"Represents information about a newly added linked data type, such as source and ID."
Interfaces,Excel.RefreshRequestCompletedEventArgs,The argument that is passed to the event handler upon completion of refresh request to an external service or link.
Interfaces,Excel.ReplaceCriteria,Represents the replace criteria to be used.
Interfaces,Excel.RootReferenceCellValue,Represents a reference to the value which contains referencedValues.
Interfaces,Excel.RowProperties,Represents the returned properties of getRowProperties.
Interfaces,Excel.RowPropertiesLoadOptions,"Represents which row properties to load, when used as part of a ""range.getRowProperties"" method."
Interfaces,Excel.SearchCriteria,Represents the search criteria to be used.
Interfaces,Excel.SelectionChangedEventArgs,Provides information about the document that raised the selection changed event.
Interfaces,Excel.SettableCellProperties,Represents the input parameter of setCellProperties.
Interfaces,Excel.SettableColumnProperties,Represents the input parameter of setColumnProperties.
Interfaces,Excel.SettableRowProperties,Represents the input parameter of setRowProperties.
Interfaces,Excel.SettingsChangedEventArgs,Provides information about the setting that raised the settings changed event
Interfaces,Excel.ShapeActivatedEventArgs,Provides information about the shape that raised the activated event.
Interfaces,Excel.ShapeDeactivatedEventArgs,Provides information about the shape that raised the deactivated event.
Interfaces,Excel.SortField,Represents a condition in a sorting operation.
Interfaces,Excel.SpillErrorCellValue,Represents the value of a cell containing a #SPILL! error.
Interfaces,Excel.StringCellValue,Represents the value of a cell containing a string.
Interfaces,Excel.Subtotals,Subtotals for the Pivot Field.
Interfaces,Excel.TableAddedEventArgs,Provides information about the table that raised the added event.
Interfaces,Excel.TableChangedEventArgs,Provides information about the table that raised the changed event.
Interfaces,Excel.TableDeletedEventArgs,Provides information about the table that raised the deleted event.
Interfaces,Excel.TableFilteredEventArgs,Provides information about the table that raised the filter applied event.
Interfaces,Excel.TableSelectionChangedEventArgs,Provides information about the table that raised the selection changed event.
Interfaces,Excel.TimeoutErrorCellValue,Represents the value of a cell containing a #TIMEOUT! error.
Interfaces,Excel.ValueErrorCellValue,Represents the value of a cell containing a #VALUE! error.
Interfaces,Excel.ValueTypeNotAvailableCellValue,"Represents the value of a cell containing a type of value which cannot be serialized. For example, an #UNKNOWN! error which represents a type of rich value not known to this version of Excel."
Interfaces,Excel.WebImageCellValue,Represents the value of a cell containing an image downloaded from the internet.
Interfaces,Excel.WorkbookActivatedEventArgs,Provides information about the workbook that raised the activated event.
Interfaces,Excel.WorkbookAutoSaveSettingChangedEventArgs,Provides information about the workbook's onAutoSaveSettingChanged event.
Interfaces,Excel.WorksheetActivatedEventArgs,Provides information about the worksheet that raised the activated event.
Interfaces,Excel.WorksheetAddedEventArgs,Provides information about the worksheet that raised the added event.
Interfaces,Excel.WorksheetCalculatedEventArgs,Provides information about the worksheet that raised the calculated event.
Interfaces,Excel.WorksheetChangedEventArgs,Provides information about the worksheet that raised the changed event.
Interfaces,Excel.WorksheetColumnSortedEventArgs,Provides information about the column-sorted event and its related worksheet.
Interfaces,Excel.WorksheetDeactivatedEventArgs,Provides information about the worksheet that raised the deactivated event.
Interfaces,Excel.WorksheetDeletedEventArgs,Provides information about the worksheet that raised the deleted event.
Interfaces,Excel.WorksheetFilteredEventArgs,Provides information about the worksheet that raised the filter applied event.
Interfaces,Excel.WorksheetFormatChangedEventArgs,Provides information about the worksheet format change event.
Interfaces,Excel.WorksheetFormulaChangedEventArgs,Provides information about the worksheet and formulas that raised the formula changed event.
Interfaces,Excel.WorksheetMovedEventArgs,Notifies when a worksheet is moved within a workbook.
Interfaces,Excel.WorksheetNameChangedEventArgs,Provides information about the worksheet whose name has changed.
Interfaces,Excel.WorksheetProtectionChangedEventArgs,"Provides information about the worksheet that raised the protection status changed event, which fires when the protection status is updated in a worksheet."
Interfaces,Excel.WorksheetProtectionOptions,Represents the options in sheet protection.
Interfaces,Excel.WorksheetRowHiddenChangedEventArgs,Provides information about the worksheet's row hidden change event.
Interfaces,Excel.WorksheetRowSortedEventArgs,Provides information about the row-sorted event and its related worksheet.
Interfaces,Excel.WorksheetSearchCriteria,Represents the worksheet search criteria to be used.
Interfaces,Excel.WorksheetSelectionChangedEventArgs,Provides information about the worksheet that raised the selection changed event.
Interfaces,Excel.WorksheetSingleClickedEventArgs,Provides information about the left-clicked/tapped event and its related worksheet.
Interfaces,Excel.WorksheetVisibilityChangedEventArgs,Provides information about the worksheet whose visibility has changed.
Functions,Excel.createWorkbook(base64),"Creates and opens a new workbook. Optionally, the workbook can be pre-populated with a base64-encoded .xlsx file. Note: Macros can be a security risk. If this API is used to create a workbook that includes a macro, the add-in user will be prompted with a ""Trust this add-in?"" dialog in the Excel UI. The user must select the ""Trust add-in"" button to proceed."
Functions,"Excel.getDataCommonPostprocess(response, callArgs)","This function is typically used internally by the Excel JavaScript API to process the common data retrieved from an API call. The response parameter contains the raw data returned by the API, and callArgs includes any arguments that were passed to the call. This function processes the data according to the provided arguments, often used for standardizing or formatting the response before it is used further."
Functions,Excel.postprocessBindingDescriptor(response),"This function is generally used internally by the Excel JavaScript API to post-process the binding descriptors received from an API call. The response parameter contains the binding data that has been returned by the API. The function modifies or processes this data to ensure it conforms to the expected structure or format, making it ready for further use in the application."
Functions,Excel.run(batch),"Executes a batch script that performs actions on the Excel object model, using a new RequestContext. When the promise is resolved, any tracked objects that were automatically allocated during execution will be released."
Functions,"Excel.run(object, batch)","Executes a batch script that performs actions on the Excel object model, using the RequestContext of a previously-created API object. When the promise is resolved, any tracked objects that were automatically allocated during execution will be released."
Functions,"Excel.run(objects, batch)","Executes a batch script that performs actions on the Excel object model, using the RequestContext of previously-created API objects."
Functions,"Excel.run(options, batch)","Executes a batch script that performs actions on the Excel object model, using the RequestContext of a previously-created API object. When the promise is resolved, any tracked objects that were automatically allocated during execution will be released."
Functions,"Excel.run(context, batch)","Executes a batch script that performs actions on the Excel object model, using the RequestContext of a previously-created object. When the promise is resolved, any tracked objects that were automatically allocated during execution will be released."
